"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Platelet","Platelet","CD99","CD99",0.226008231348094,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Platelet","NK","CD99","CD99",0.203004837025498,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK","Platelet","CD99","CD99",0.203004837025498,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK","NK","CD99","CD99",0.181792835691611,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Platelet","CD8 T","CD99","CD99",0.145646188747292,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Platelet","CD99","CD99",0.145646188747292,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Memory CD4 T","B","MIF","CD74_CXCR4",0.142145897028102,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","CD8 T","CD99","CD99",0.129454103596395,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","NK","CD99","CD99",0.129454103596395,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Platelet","Memory CD4 T","CD99","CD99",0.125461104248457,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Memory CD4 T","Platelet","CD99","CD99",0.125461104248457,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"DC","B","MIF","CD74_CXCR4",0.12437669842599,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Platelet","DC","APP","CD74",0.122405184590772,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelet","B","APP","CD74",0.119953315670864,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelet","FCGR3A Mono","CD99","PILRA",0.118840984556019,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Memory CD4 T","DC","MIF","CD74_CXCR4",0.115237751474877,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Platelet","CD14 Mono","CD99","CD99",0.114415124940033,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CD14 Mono","Platelet","CD99","CD99",0.114415124940033,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK","Memory CD4 T","CD99","CD99",0.111220943238119,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Memory CD4 T","NK","CD99","CD99",0.111220943238119,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK","FCGR3A Mono","CD99","PILRA",0.105261783758024,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"NK","CD14 Mono","CD99","CD99",0.101283510245917,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CD14 Mono","NK","CD99","CD99",0.101283510245917,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"DC","DC","MIF","CD74_CXCR4",0.10043842764543,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Platelet","DC","CD99","CD99",0.10033007451552,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"DC","Platelet","CD99","CD99",0.10033007451552,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","CD8 T","CD99","CD99",0.090516857086389,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Memory CD4 T","FCGR3A Mono","MIF","CD74_CD44",0.089819298261378,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"DC","NK","CD99","CD99",0.0886531951936363,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK","DC","CD99","CD99",0.0886531951936363,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
