"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
7.3750487905467e-143,0.703140616439491,1,0.995,1.01141419113557e-138,"0","RPS6","Naive CD4 T"
1.81482426320789e-141,0.746029973619676,0.998,0.992,2.4888499945633e-137,"0","RPS27","Naive CD4 T"
5.4766901977227e-141,0.640377311832796,0.998,0.995,7.51073293715692e-137,"0","RPL32","Naive CD4 T"
6.43143234715227e-138,0.726917158860716,1,0.991,8.82006632088463e-134,"0","RPS12","Naive CD4 T"
9.74082142103377e-129,0.636789206799732,1,0.994,1.33585624968057e-124,"0","RPS14","Naive CD4 T"
4.42399795646276e-123,0.776414917511998,0.998,0.975,6.06707079749303e-119,"0","RPS25","Naive CD4 T"
8.8103816762515e-121,0.790272545326809,0.998,0.964,1.20825574308113e-116,"0","RPL31","Naive CD4 T"
1.52998409100953e-114,0.77036603090993,0.997,0.971,2.09822018241047e-110,"0","RPL9","Naive CD4 T"
2.87158176262648e-112,1.2096186783696,0.926,0.593,3.93808722926596e-108,"0","LDHB","Naive CD4 T"
1.06597946424973e-110,0.556441262366588,1,0.996,1.46188423727208e-106,"0","RPL13","Naive CD4 T"
1.78836783501498e-110,0.614922152318202,0.997,0.995,2.45256764893955e-106,"0","RPL3","Naive CD4 T"
1.47468553610709e-108,0.799272029433657,0.998,0.975,2.02238374421727e-104,"0","RPS3A","Naive CD4 T"
2.60835816061132e-107,0.677927639807998,1,0.98,3.57710238146236e-103,"0","RPL30","Naive CD4 T"
5.00489753853057e-107,0.677897674090821,0.997,0.991,6.86371648434083e-103,"0","RPL21","Naive CD4 T"
3.1856598133076e-105,0.64883061133728,0.997,0.983,4.36881386797004e-101,"0","RPS15A","Naive CD4 T"
1.73254794117441e-103,0.567902105775856,1,0.994,2.37601624652659e-99,"0","RPS3","Naive CD4 T"
3.57536525090826e-101,0.603498222069347,1,0.99,4.90325590509559e-97,"0","RPLP2","Naive CD4 T"
6.59138942645019e-98,0.731922018500127,0.988,0.961,9.03943145943379e-94,"0","RPS13","Naive CD4 T"
6.52893606544065e-97,0.749966582944995,0.995,0.967,8.95378292014531e-93,"0","RPS27A","Naive CD4 T"
3.64594169774898e-92,0.526934009162796,0.994,0.991,5.00004444429295e-88,"0","EEF1A1","Naive CD4 T"
8.25832339042851e-92,2.44004392385297,0.462,0.109,1.13254646976337e-87,"0","CCR7","Naive CD4 T"
2.25586795618658e-91,0.475499629228866,1,0.995,3.09369731511427e-87,"0","RPL11","Naive CD4 T"
6.08146431170771e-89,0.516457503895441,1,0.996,8.34012015707595e-85,"0","RPS18","Naive CD4 T"
9.50884760233131e-89,0.478709342995884,1,0.999,1.30404336018372e-84,"0","RPL13A","Naive CD4 T"
2.43093584788855e-88,0.647767929119347,1,0.999,3.33378542179436e-84,"0","MALAT1","Naive CD4 T"
2.93631462474145e-88,0.587814112478536,1,0.977,4.02686187637043e-84,"0","RPS23","Naive CD4 T"
4.43084148585072e-87,0.639870852161919,0.994,0.968,6.07645601369567e-83,"0","RPS28","Naive CD4 T"
4.12369808855124e-86,0.584716196575035,0.998,0.981,5.65523955863918e-82,"0","RPL35A","Naive CD4 T"
5.82268625668813e-86,0.536504115271535,1,0.987,7.9852319324221e-82,"0","RPL27A","Naive CD4 T"
1.54196063040706e-83,0.596571671868653,0.998,0.982,2.11464480854024e-79,"0","TPT1","Naive CD4 T"
3.64465676682715e-82,0.762255893596781,0.992,0.905,4.99828229002675e-78,"0","RPS29","Naive CD4 T"
5.35357229127622e-78,0.539116207568429,1,0.988,7.34188904025621e-74,"0","RPL23A","Naive CD4 T"
2.09529866551177e-76,0.677933805885353,0.991,0.943,2.87349258988285e-72,"0","RPS20","Naive CD4 T"
4.17662698784706e-75,0.501311524252547,0.997,0.992,5.72782625113346e-71,"0","RPS4X","Naive CD4 T"
7.94694403440946e-74,0.612260166030618,0.989,0.969,1.08984390487891e-69,"0","RPL5","Naive CD4 T"
2.11707323019192e-73,0.533293988909511,0.995,0.982,2.9033542278852e-69,"0","RPS16","Naive CD4 T"
1.044079862551e-72,0.408170530697826,0.998,0.993,1.43185112350245e-68,"0","RPL19","Naive CD4 T"
